station_name,station_code,station_category,division,zone,district,state
SIMBHAULI,SMBL,NSG6,MORADABAD,NR,HAPUR,UTTAR PRADESH
SISARKA,SSKA,NSG6,MORADABAD,NR,BUDAUN,UTTAR PRADESH
TISUA,TSA,NSG6,MORADABAD,NR,BAREILLY,UTTAR PRADESH
TODARPUR,TDP,NSG6,MORADABAD,NR,HARDOI,UTTAR PRADESH
UMAR TALI,UTA,NSG6,MORADABAD,NR,HARDOI,UTTAR PRADESH
UNCHAULIA,UCH,NSG6,MORADABAD,NR,KHERI,UTTAR PRADESH
VIRBHADRA HALT,VRH,NSG6,MORADABAD,NR,DEHRADUN,UTTARAKHAND
SAMRALA,SMRL,HG2,AMBALA,NR,LUDHIANA,PUNJAB
TANDWAL,TDW,HG2,AMBALA,NR,AMBALA,HARYANA
BAHAWAL BASI,BFE,HG3,AMBALA,NR,FAZILKA,PUNJAB
BAHMAN DIWANA,BWX,HG3,AMBALA,NR,BATHINDA,PUNJAB
BAKAYANWALA,BKWA,HG3,AMBALA,NR,FAZILKA,PUNJAB
BHANUPLI HALT,BNLY,HG3,AMBALA,NR,RUPNAGAR,PUNJAB
BHARUR HALT,BZ,HG3,AMBALA,NR,SANGRUR,PUNJAB
DAULATPUR HARYANA,DULP,HG3,AMBALA,NR,HISAR,HARYANA
GAJUWALA HALT,GJW,HG3,AMBALA,NR,FATEHABAD,HARYANA
GHUNAS HALT,GUNS,HG3,AMBALA,NR,BARNALA,PUNJAB
KAKRALA HALT,KKRL,HG3,AMBALA,NR,PATIALA,PUNJAB
KHAMANON,KMNN,HG3,AMBALA,NR,FATEHGARH SAHIB,PUNJAB
KILANWALI PUNJAB,KLWL,HG3,AMBALA,NR,FAZILKA,PUNJAB
KOTHA PAKKI HALT,KTPK,HG3,AMBALA,NR,GANGANAGAR,RAJASTHAN
KUDNI,KUDN,HG3,AMBALA,NR,FATEHABAD,HARYANA
LAL KALAN,LLKN,HG3,AMBALA,NR,LUDHIANA,PUNJAB
MOHANPURA HALT,MOPR,HG3,AMBALA,NR,GANGANAGAR,RAJASTHAN
ORKI HALT,ORKI,HG3,AMBALA,NR,GANGANAGAR,RAJASTHAN
PANOH,PH,HG3,AMBALA,NR,UNA,HIMACHAL PRADESH
PATIALA CANT.,PTE,HG3,AMBALA,NR,PATIALA,PUNJAB
PIRTHALA LALAUDA,PLT,HG3,AMBALA,NR,FATEHABAD,HARYANA
ROHIRA GHALLUGHARA H,RHW,HG3,AMBALA,NR,SANGRUR,PUNJAB
AMBALA CANTT. JN.,UMB,NSG2,AMBALA,NR,AMBALA,HARYANA
CHANDIGARH,CDG,NSG2,AMBALA,NR,CHANDIGARH,CHANDIGARH
BATHINDA JN.,BTI,NSG3,AMBALA,NR,BATHINDA,PUNJAB
KALKA,KLK,NSG3,AMBALA,NR,PANCHKULA,HARYANA
SAHARANPUR JN.,SRE,NSG3,AMBALA,NR,SAHARANPUR,UTTAR PRADESH
ABOHAR,ABS,NSG4,AMBALA,NR,FAZILKA,PUNJAB
PATIALA,PTA,NSG4,AMBALA,NR,PATIALA,PUNJAB
RAJPURA JN.,RPJ,NSG4,AMBALA,NR,PATIALA,PUNJAB
SIRHIND JN.,SIR,NSG4,AMBALA,NR,FATEHGARH SAHIB,PUNJAB
AMB ANDAURA,AADR,NSG5,AMBALA,NR,UNA,HIMACHAL PRADESH
AMBALA CITY,UBC,NSG5,AMBALA,NR,AMBALA,HARYANA
ANANDPUR SAHIB,ANSB,NSG5,AMBALA,NR,RUPNAGAR,PUNJAB
BARARA,RAA,NSG5,AMBALA,NR,AMBALA,HARYANA
BARNALA,BNN,NSG5,AMBALA,NR,BARNALA,PUNJAB
DHURI JN.,DUI,NSG5,AMBALA,NR,SANGRUR,PUNJAB
GIDDARBAHA,GDB,NSG5,AMBALA,NR,SRI MUKTSAR SAHIB,PUNJAB
